DEFINITION_NAME	IS_ACTIVE	LAST_MODIFY_USER	PROCESS_FAMILY	TRIGGER_OPERATION	SITE	FAB	DEFINITION_TYPE	INTEG_LAYER	DEFECT_LAYER	INTEGRATION_LAYER
EQUIP:BARC_TBF_CIPAMC_9110D_1000:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_9110D_1000:L_8V9_EBR	L_8V9_EBR	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:GASLINES:TD-DVDcl	Y	AMR\MMAITLAN	EQUIP:GASLINES:T_8M8_OX_CAP	T_8M8_OX_CAP	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:BARC_TBF_LPCLEAN:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_LPCLEAN:L_8M10_CHM_DEP	L_8M10_CHM_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
PROCESS:80P_JURASSIC:DE-GTOcs	Y	AMR\WAIYIPLO	PROCESS:80P_JURASSIC:E_8V7_MAIN_ETCH	E_8V7_MAIN_ETCH	D1D	D1D	Other	600_M08	NA	
EQUIP:CTI_DGB:TF-CTIce	Y	AMR\GSAVITHR	EQUIP:CTI_DGB:T_8V9_HM_DEP	T_8V9_HM_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:KORA:TF-CSBcb	Y	AMR\HSAMASSE	EQUIP:KORA:T_8M8_BS	T_8M8_BS	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:BARC_TBF_CIPAMC_8102_1100:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_8102_1100:L_8V7_EBR	L_8V7_EBR	D1D	D1D	Treatment Rule	600_M08	NA	
DUV_OX_CAP_TMI	Y	AMR\DUOLI1	M10_ILD_CAP	T_8M10_OX_CAP	D1D	D1D		620_M10	NA	
DUV_FSM_TMI	Y	AMR\DUOLI1	V7_SHOT_MAP	L_8V7_SED	D1D	D1D		600_M08	NA	
DUV_FSM_TMI	Y	AMR\DUOLI1	V8_SHOT_MAP	L_8V8_SED	D1D	D1D		610_M09	NA	
DUV_OX_CAP_TMI	Y	AMR\DUOLI1	M9_ILD_CAP	T_8M9_OX_CAP	D1D	D1D		610_M09	NA	
PROCESS:TD-HRBck	Y	AMR\SUCHICHA	PROCESS:T_8V7_ILD_DEP	T_8V7_ILD_DEP	D1D	D1D	Treatment Rule	600_M08	600_M08	
EQUIP:PLIXX_CATALYST_ARM_SLURRY_LINE_SPACER:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLIXX_CATALYST_ARM_SLURRY_LINE_SPACER:P_8M8_CMP	P_8M8_CMP	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:PLIXX_CATALYST_ARM_SLURRY_LINE_SPACER:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLIXX_CATALYST_ARM_SLURRY_LINE_SPACER:P_8M10_CMP	P_8M10_CMP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:LEOCB:WE-LEOcb	Y	AMR\DISHARAV	EQUIP:LEOCB:W_8M10_HMR	W_8M10_HMR	D1D	D1D	Treatment Rule	620_M10	NA	
V8_CHM_CIP_PINS	Y	AMR\PGAYEN	V8_CHM_CIP_PINS	L_8V8_SIARC_DEP	D1D	D1D	Universal Process Label	610_M09	NA	M09
PROCESS:PL-PLIcs	Y	AMR\UDESILVA	PROCESS:P_8M10_CMP	P_8M10_CMP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:056POWERSUPPLY:TF-EPFca	Y	AMR\BLYDON	EQUIP:056POWERSUPPLY:T_8M10_EPN	T_8M10_EPN	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:QZRECLEAN25:DE-GTOcs	Y	AMR\WBROOKSI	EQUIP:QZRECLEAN25:E_8V7_MAIN_ETCH	E_8V7_MAIN_ETCH	D1D	D1D	Treatment Rule	600_M08	NA	
MX_MAIN_ETCH_DUV	Y	AMR\PGARG3	V8_MAIN_ETCH_RECIPE	E_8V8_MAIN_ETCH	D1D	D1D	Universal Process Label	610_M09	NA	M09
EQUIP:AMECT_CKV_CCM_SRCIP:DE-AMEct	Y	AMR\MZILM	EQUIP:AMECT_CKV_CCM_SRCIP:E_8M9_HM_ETCH	E_8M9_HM_ETCH	D1D	D1D	Treatment Rule	610_M09	NA	
DUV_NCD_MODEL	Y	AMR\DUOLI1	M8_FC_NCD_MODEL	A_8M8_FC_NCD	D1D	D1D	Metrology Model	600_M08	NA	M08
EQUIP:DVDCL_EUV_DUV_GVB:TD-DVDcl	Y	AMR\KDATTA	EQUIP:DVDCL_EUV_DUV_GVB:T_8M8_OX_CAP	T_8M8_OX_CAP	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:DVDCL_EUV_DUV_GVB:TD-DVDcl	Y	AMR\KDATTA	EQUIP:DVDCL_EUV_DUV_GVB:T_8M10_OX_CAP	T_8M10_OX_CAP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626:WE-LEOcb	Y	AMR\SADATKAM	EQUIP:TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626:W_8M10_HM_CLN	W_8M10_HM_CLN	D1D	D1D	Treatment Rule	620_M10	NA	
MX_EPN_DUV	Y	AMR\PGARG3	M10_EPN	T_8M10_EPN	D1D	D1D	Universal Process Label	620_M10	NA	ZRO
EQUIP:DVDCL_DUV_GVB:TD-DVDcl	Y	AMR\KDATTA	EQUIP:DVDCL_DUV_GVB:T_8M9_OX_CAP	T_8M9_OX_CAP	D1D	D1D	Treatment Rule	610_M09	NA	
PROCESS:WE-DRTcb	Y	AMR\DHOWLETT	PROCESS:W_8M9_BSCB	W_8M9_BSCB	D1D	D1D	Treatment Rule	610_M09	NA	
PROCESS:WE-DRTcb	Y	AMR\DHOWLETT	PROCESS:W_8V9_BSCB	W_8V9_BSCB	D1D	D1D	Treatment Rule	620_M10	NA	
PROCESS:6001_V5_12_G:LI-TBEbc	Y	AMR\LEOLIU1	PROCESS:6001_V5_12_G:L_8V9_SIARC_DEP	L_8V9_SIARC_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:2805_XPR4_NPT3:LI-SAVli	Y	AMR\BJRANCAT	EQUIP:2805_XPR4_NPT3:L_8V8_SED	L_8V8_SED	D1D	D1D	Treatment Rule	610_M09	NA	
PROCESS:TD-DVDcl	Y	AMR\MMAITLAN	PROCESS:T_8M10_OX_CAP	T_8M10_OX_CAP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:PAC:TD-DVDcl	Y	AMR\MMAITLAN	EQUIP:PAC:T_8M9_OX_CAP	T_8M9_OX_CAP	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:DEGAS_BMO:TF-CTIce	Y	AMR\RABAKARE	EQUIP:DEGAS_BMO:T_8V8_HM_DEP	T_8V8_HM_DEP	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:ROOMBA:TF-CTIce	Y	AMR\GSAVITHR	EQUIP:ROOMBA:T_8V9_HM_DEP	T_8V9_HM_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:HRVA_LEOCB_1278:WE-LEOcb	Y	AMR\MDFOYSAL	EQUIP:HRVA_LEOCB_1278:W_8M8_HMR	W_8M8_HMR	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:PLICS_WET_IDLE_EC_IMPLEMENTATION:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLICS_WET_IDLE_EC_IMPLEMENTATION:P_8M9_CMP	P_8M9_CMP	D1D	D1D	Treatment Rule	610_M09	NA	
DUV_OPC	Y	AMR\DUOLI1	M10_OPC	L_8M10_SED	D1D	D1D	Other	620_M10	NA	M10
EQUIP:BEDVD_TALA_COND:TD-DVDco,TD-DVDcr	Y	AMR\MMAITLAN	EQUIP:BEDVD_TALA_COND:T_8M9_HM2_DEP	T_8M9_HM2_DEP	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:BEDVD_TALA_COND:TD-DVDco,TD-DVDcr	Y	AMR\MMAITLAN	EQUIP:BEDVD_TALA_COND:T_8M10_HM2_DEP	T_8M10_HM2_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:EPF_R95_RR:TF-EPFca	Y	AMR\BLYDON	EQUIP:EPF_R95_RR:T_8M9_EPN	T_8M9_EPN	D1D	D1D	Other	610_M09	NA	
EQUIP:BARC_TBF_CIPAMC_9110D_1000:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_9110D_1000:L_8V8_EBR	L_8V8_EBR	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:TELSUPPLIEDESCCLEAN:DE-GTOcs	Y	AMR\WBROOKSI	EQUIP:TELSUPPLIEDESCCLEAN:E_8V8_MAIN_ETCH	E_8V8_MAIN_ETCH	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:BARC_TBF_LPCLEAN:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_LPCLEAN:L_8V9_SIARC_DEP	L_8V9_SIARC_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:BARC_TBF_LPCLEAN:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_LPCLEAN:L_8V7_EBR	L_8V7_EBR	D1D	D1D	Treatment Rule	600_M08	NA	
PROCESS:SOPHONNOGLOW:TD-HRBck	Y	AMR\NPALAPAT	PROCESS:SOPHONNOGLOW:T_8V9_ILD_DEP	T_8V9_ILD_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:BURSTPURGE:TD-DVDcl	Y	AMR\MMAITLAN	EQUIP:BURSTPURGE:T_8M10_OX_CAP	T_8M10_OX_CAP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:BARC_TBF_CIPAMC_8102_1100:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_8102_1100:L_8V7_CHM_DEP	L_8V7_CHM_DEP	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:BARC_TBF_CIPAMC_8102_1100:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_8102_1100:L_8V9_CHM_DEP	L_8V9_CHM_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EXCR_CSB467_CH2_MMF	Y	AMR\AMARTIN2	YEXC_CSB467_CH2_MMF	T_8M10_BS,T_8M11_BAR,T_8M12_BAR,T_8M5_BS,T_8M6_BS,T_8M7_BS,T_8M8_BS,T_8M9_BS	D1D	D1D		580_M06	NA	
MX_HMR_RECIPE_DUV	Y	AMR\PGARG3	M9_HMR_RECIPE	W_8M9_HMR	D1D	D1D		610_M09	NA	
MX_HM_CLN	Y	AMR\PGARG3	M10_HM_CLN	W_8M10_HM_CLN	D1D	D1D	Universal Process Label	620_M10	NA	620_M10
MX_BS_DUV	Y	AMR\PGARG3	M9_BS	T_8M9_BS	D1D	D1D	Universal Process Label	610_M09	NA	610_M09
PDUI_TIME_M10	Y	AMR\PJZAPATA	TIME_M10	P_8M10_CMP	D1D	D1D	Other	620_M10	NA	
VAX_ILD_DEP	Y	AMR\PGARG3	V8_ILD	T_8V8_ILD_DEP	D1D	D1D	Universal Process Label	610_M09	NA	610_M09
EQUIP:PLICS_EPSL_AND_ECNM_ENTITY_CHANGE_LOGGER:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLICS_EPSL_AND_ECNM_ENTITY_CHANGE_LOGGER:P_8M10_CMP	P_8M10_CMP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:QZRECLEAN25:DE-GTOcs	Y	AMR\WBROOKSI	EQUIP:QZRECLEAN25:E_8V8_MAIN_ETCH	E_8V8_MAIN_ETCH	D1D	D1D	Treatment Rule	610_M09	NA	
DUV_DVDCL_POST_SEP8_MP	Y	AMR\PGARG3	DUV_DVDCL_120P_160P_POST_SEP8_MP	T_8M10_OX_CAP,T_8M14_OX_CAP,T_8M5_OX_CAP	D1D	D1D	Universal Process Label	660_M14	NA	
EQUIP:AMECT_CKV_CCM_SRCIP:DE-AMEct	Y	AMR\MZILM	EQUIP:AMECT_CKV_CCM_SRCIP:E_8M8_HM_ETCH	E_8M8_HM_ETCH	D1D	D1D	Treatment Rule	600_M08	NA	
PROCESS:2805_6Q6:LI-SAVli	Y	AMR\BJRANCAT	PROCESS:2805_6Q6:L_8V9_SED	L_8V9_SED	D1D	D1D	Treatment Rule	620_M10	NA	
PROCESS:DELTRIM:WE-LEOcb	Y	AMR\ARNOBDAS	PROCESS:DELTRIM:W_8M8_HM_CLN	W_8M8_HM_CLN	D1D	D1D	Treatment Rule	600_M08	NA	
PROCESS:DELTRIM:WE-LEOcb	Y	AMR\ARNOBDAS	PROCESS:DELTRIM:W_8M9_HM_CLN	W_8M9_HM_CLN	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:2805_CIPVII:LI-SAVli	Y	AMR\BJRANCAT	EQUIP:2805_CIPVII:L_8V9_SED	L_8V9_SED	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:SINGLE_DEP_PCTW377_IMPLEMENTATION_ON_PLICS:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:SINGLE_DEP_PCTW377_IMPLEMENTATION_ON_PLICS:P_8M10_CMP	P_8M10_CMP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:DVDCL_EUV_DUV_GVB:TD-DVDcl	Y	AMR\KDATTA	EQUIP:DVDCL_EUV_DUV_GVB:T_8M9_OX_CAP	T_8M9_OX_CAP	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626:WE-LEOcb	Y	AMR\SADATKAM	EQUIP:TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626:W_8M8_HM_CLN	W_8M8_HM_CLN	D1D	D1D	Treatment Rule	600_M08	NA	
MX_EPN_DUV	Y	AMR\PGARG3	M8_EPN	T_8M8_EPN	D1D	D1D	Universal Process Label	600_M08	NA	ZRO
EQUIP:PLICS_POU_FILTER:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLICS_POU_FILTER:P_8M10_CMP	P_8M10_CMP	D1D	D1D	Treatment Rule	620_M10	NA	
PROCESS:DE-GTOcs	Y	AMR\JRSANCHE	PROCESS:GTOCS_APC:E_8V8_MAIN_ETCH	E_8V8_MAIN_ETCH	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:DVDCL_DUV_GVB:TD-DVDcl	Y	AMR\KDATTA	EQUIP:DVDCL_DUV_GVB:T_8M8_OX_CAP	T_8M8_OX_CAP	D1D	D1D	Treatment Rule	600_M08	NA	
